"Page","SizeKB","Lines","InlineStyle","HexColors","RgbColors","HardcodedInInlineStyle","Placeholders","ScriptBlocks","StyleBlocks"
"pages\trade\index.html","61.1","925","5","8","0","0","1","6","1"
"pages\vendor\dashboard.html","6","115","8","0","0","0","0","6","1"
"pages\vendor\upgrades.html","9.5","194","17","11","0","0","0","6","1"
"pages\wallet\bank-cards.html","6.7","130","9","0","0","0","0","5","1"
"pages\wallet\corporate-pay.html","5.4","84","15","0","0","0","0","3","1"
"pages\wallet\corp-pay.html","13.7","266","14","1","0","0","0","5","1"
"pages\wallet\credits.html","33.4","656","29","26","0","1","0","5","1"
"pages\wallet\credits-mall.html","13.8","248","10","8","0","0","0","5","1"
"pages\wallet\credits-rules.html","11.6","174","13","5","0","2","0","5","1"
"pages\wallet\escrow.html","6.4","86","8","5","0","0","0","1","1"
"pages\wallet\free-quota.html","12.6","212","15","9","0","1","0","5","1"
"pages\wallet\index.html","43","678","36","29","0","1","0","6","1"
"pages\wallet\invoice.html","15.7","320","19","0","0","0","0","7","0"
"pages\wallet\invoice-info.html","5.5","114","15","0","0","0","0","6","0"
"pages\wallet\invoice-info-edit.html","6.9","153","8","0","0","0","0","6","0"
"pages\wallet\invoice-record.html","5.9","129","10","0","0","0","0","7","0"
"pages\wallet\invoice-title-new.html","6.1","121","7","0","0","0","0","6","0"
"pages\wallet\membership.html","8.4","186","2","8","0","0","0","5","1"
"pages\wallet\payment-method.html","3.2","50","11","0","0","0","0","2","0"
"pages\wallet\recharge.html","23.8","426","29","8","0","3","0","7","1"
"pages\wallet\unlock-records.html","8.2","174","12","0","0","0","0","5","1"
"pages\wallet\withdraw.html","18.4","330","43","3","0","3","0","6","0"
